Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
98,Leolani,I thought I was going to have a heart attack.,So ... it   has come to this . ,"ing for this game for so long. ... just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack.",,,,,,,,,
99,BLENDERBOT,So ... it   has come to this . ,Yes,".. just like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this . ",,,,,,,,,
100,Leolani,Yes,There is no escape from destiny . ,"ust like in my dream .  What is your dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this .  Yes",,,,,,,,,
101,BLENDERBOT,There is no escape from destiny . ,Yes it has.,"r dream? But at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this .  Yes There is no escape from destiny . ",,,,,,,,,
102,Leolani,Yes it has.,Good to know . ," at what cost? .  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this .  Yes There is no escape from destiny .  Yes it has.",,,,,,,,,
103,BLENDERBOT,Good to know . ,I am so happy for her.,"  I hope it 's something that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this .  Yes There is no escape from destiny .  Yes it has. Good to know . ",,,,,,,,,
104,Leolani,I am so happy for her.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ","g that you can live up to in the future. and then the wolves came .  I was so scared. So let it be written, ... so let it be done .  I thought I was going to have a heart attack. So ... it   has come to this .  Yes There is no escape from destiny .  Yes it has. Good to know .  I am so happy for her.",,,,,,,,,
105,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",She is going to have a great life.,"ng to have a heart attack. So ... it   has come to this .  Yes There is no escape from destiny .  Yes it has. Good to know .  I am so happy for her. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
106,Leolani,She is going to have a great life.,That's just what he/she/they would've said . ,"t   has come to this .  Yes There is no escape from destiny .  Yes it has. Good to know .  I am so happy for her. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life.",,,,,,,,,
107,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too," from destiny .  Yes it has. Good to know .  I am so happy for her. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said . ",,,,,,,,,
108,Leolani,That 's what I thought too,Many of us feel that way . ,". Good to know .  I am so happy for her. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too",,,,,,,,,
109,BLENDERBOT,Many of us feel that way . ,That 's what I thought too but I was wrong.,"ppy for her. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way . ",,,,,,,,,
110,Leolani,That 's what I thought too but I was wrong.,"But, why? . ",e My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong.,,,,,,,,,
111,BLENDERBOT,"But, why? . ",I felt so bad about it.,"ot a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? . ",,,,,,,,,
112,Leolani,I felt so bad about it.,One more thing off the bucket list . ,"year before his wedding. I thought: Oh my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? .  I felt so bad about it.",,,,,,,,,
113,BLENDERBOT,One more thing off the bucket list . ,What is that?," my god! how long is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? .  I felt so bad about it. One more thing off the bucket list . ",,,,,,,,,
114,Leolani,What is that?,Many of us feel that way . ,"ong is the aisle going to be .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? .  I felt so bad about it. One more thing off the bucket list .  What is that?",,,,,,,,,
115,BLENDERBOT,Many of us feel that way . ,I have never heard of that one before.," .  She is going to have a great life. That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? .  I felt so bad about it. One more thing off the bucket list .  What is that? Many of us feel that way . ",,,,,,,,,
116,Leolani,I have never heard of that one before.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ","That's just what he/she/they would've said .  That 's what I thought too Many of us feel that way .  That 's what I thought too but I was wrong. But, why? .  I felt so bad about it. One more thing off the bucket list .  What is that? Many of us feel that way .  I have never heard of that one before.",,,,,,,,,
117,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",What is it?,"y? .  I felt so bad about it. One more thing off the bucket list .  What is that? Many of us feel that way .  I have never heard of that one before. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
118,Leolani,What is it?,May I ask you why? . ," so bad about it. One more thing off the bucket list .  What is that? Many of us feel that way .  I have never heard of that one before. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  What is it?",,,,,,,,,
119,BLENDERBOT,May I ask you why? . ,I do n't know,"more thing off the bucket list .  What is that? Many of us feel that way .  I have never heard of that one before. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  What is it? May I ask you why? . ",,,,,,,,,
